"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 15:52:31 GMT 2024","Thu Mar 07 15:52:35 GMT 2024","4116","tests","UI Functional Tests","TestUIHomePage","","","Check Login via Email",""
"passed","Thu Mar 07 15:51:56 GMT 2024","Thu Mar 07 15:52:01 GMT 2024","4676","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Thu Mar 07 16:07:27 GMT 2024","Thu Mar 07 16:07:36 GMT 2024","9399","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Thu Mar 07 15:59:55 GMT 2024","Thu Mar 07 16:00:03 GMT 2024","7321","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Thu Mar 07 15:53:46 GMT 2024","Thu Mar 07 15:53:54 GMT 2024","8650","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form: Subcategories dropdown",""
"failed","Thu Mar 07 16:10:58 GMT 2024","Thu Mar 07 16:11:06 GMT 2024","8562","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"failed","Thu Mar 07 16:02:28 GMT 2024","Thu Mar 07 16:02:40 GMT 2024","11986","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Thu Mar 07 16:11:34 GMT 2024","Thu Mar 07 16:11:44 GMT 2024","9349","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Thu Mar 07 16:06:40 GMT 2024","Thu Mar 07 16:06:52 GMT 2024","11963","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Thu Mar 07 15:59:13 GMT 2024","Thu Mar 07 15:59:19 GMT 2024","6187","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Thu Mar 07 16:01:47 GMT 2024","Thu Mar 07 16:01:54 GMT 2024","6702","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Thu Mar 07 16:10:42 GMT 2024","Thu Mar 07 16:10:49 GMT 2024","7808","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
